1,2,3,4,5,6
38,14,37,8,11,48
31,43,49,45,7,21
9,12,43,29,21,3
40,3,48,10,30,11
44,45,32,33,25,31
14,34,45,44,23,39
18,49,8,22,11,38
41,18,2,1,48,22
26,37,43,14,41,47
13,3,33,8,10,6
35,7,15,26,33,28
4,24,39,44,40,34
46,41,8,19,5,28
31,40,46,35,29,18
22,26,48,14,47,20
14,40,10,13,23,44
45,40,1,13,49,26
16,6,24,14,44,28
26,24,48,33,14,34
13,20,15,36,26,28
1,27,48,42,30,32
38,25,23,1,12,17
10,48,26,43,22,13
38,7,35,41,45,10
46,41,2,36,42,45
10,30,49,1,4,28
32,48,21,10,34,11
46,36,44,37,20,18
30,35,33,27,39,5
21,44,1,16,40,20
36,42,21,12,8,15
39,40,41,3,43,8
42,3,9,49,36,20
25,19,1,36,7,21
44,45,28,43,13,34
40,12,3,31,19,43
34,23,3,13,15,10
19,43,45,44,49,10
4,43,21,46,9,29
15,35,46,31,17,26
44,34,11,1,29,4
47,3,45,38,14,30
7,30,33,46,1,11
10,9,40,45,7,41
40,6,5,48,36,14
34,27,35,23,12,20
17,28,10,26,47,31
41,44,10,25,7,5
44,39,5,2,6,11
47,5,32,33,49,37
30,17,39,13,7,29
36,45,4,2,27,26
49,15,33,11,14,9
16,31,38,42,1,27
27,28,8,16,49,38
27,38,3,2,46,9
32,2,8,7,41,45
18,4,33,46,34,16
20,29,48,5,7,45
8,48,40,7,12,16
28,35,12,1,11,6
46,15,2,7,41,11
33,44,24,34,49,31
8,32,44,47,19,37
49,17,6,29,23,5
34,35,15,31,2,17
6,48,18,4,30,47
36,13,45,47,6,21
48,43,40,29,6,31
47,21,9,40,37,38
7,16,23,47,24,38
49,27,19,20,5,2
12,11,39,37,31,16
17,47,45,35,9,41
11,12,25,37,7,48
1,48,38,17,19,16
31,26,2,35,21,13
5,43,40,39,8,18
40,28,43,19,27,8
43,41,23,40,45,17
20,47,24,5,15,8
45,42,44,34,9,17
38,32,33,34,22,44
48,12,38,9,5,36
38,18,17,41,23,19
39,12,34,49,18,1
9,5,21,25,22,17
49,32,14,48,39,28
1,22,5,21,37,7
12,20,1,45,40,11
41,4,23,42,48,40
8,48,5,39,42,6
16,9,27,13,17,26
32,26,35,46,43,33
23,9,44,17,5,12
39,33,10,28,5,19
12,32,22,47,36,19
49,4,11,15,25,36
4,11,40,16,5,9
38,16,31,42,23,8
2,49,16,39,44,36
30,22,47,26,20,25
16,22,5,21,19,32
27,7,2,6,23,47
36,1,44,26,11,5
7,9,30,24,27,2
30,31,36,32,17,39
38,20,35,36,17,4
46,25,48,41,8,43
46,11,25,20,30,7
31,42,33,34,14,41
12,33,2,36,6,47
36,14,13,37,49,33
9,46,32,21,39,7
29,5,20,7,33,46
34,5,1,44,23,9
33,27,28,25,32,48
9,37,1,12,49,8
43,17,18,36,31,49
17,44,13,37,31,49
10,17,28,22,2,42
9,17,41,16,27,18
37,46,47,19,9,41
40,15,42,39,5,33
46,30,6,48,38,49
17,5,47,13,39,36
27,3,19,43,36,28
4,25,5,31,38,18
30,7,8,24,38,47
33,43,28,26,41,47
5,17,15,31,7,49
36,2,48,17,29,9
8,23,22,37,5,44
24,36,7,35,4,47
10,30,32,22,14,27
47,10,4,43,36,13
30,16,29,24,32,4
26,20,38,14,34,46
47,49,39,2,32,17
28,14,42,31,3,4
44,38,9,28,15,25
47,26,12,21,44,40
16,20,15,37,21,24
1,23,19,3,4,40
37,44,25,28,14,4
4,15,23,14,28,44
35,49,37,45,14,21
45,24,21,15,38,13
37,15,21,48,24,4
28,7,22,46,29,6
47,16,35,31,28,12
